Location,Category of Production,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
"Alabama","All fuels",12574.68,11267.83,10343.43,8972.6,11274.04,12255.95,13545.99,13862.05,12089.57,11731.84,12408.92,12406.44
"Alabama","Other renewables",328.33,280.05,321.35,323.39,337.83,320.87,313.11,317.53,339.96,334.16,294.03,294.63
"Alabama","Conventional hydroelectric",1150,1040.73,1060.08,821.78,909.73,984.05,890.94,920.4,871.55,888.31,895.56,1087.67
"Alabama","Nuclear",4122.6,3628.25,2969.53,2750.89,4141.76,3936.41,4089.76,4065.65,3976.67,4164.37,4053.99,4136.62
"Alabama","Utility-scale photovoltaic",19.13,19.92,31.63,44.11,45.35,37.98,38.67,37.57,79.97,52.57,51.38,35.72
"Alabama","All utility-scale solar",19.13,19.92,31.63,44.11,45.35,37.98,38.67,37.57,79.97,52.57,51.38,35.72
"Alabama","All solar",,,,,,,,,,,,37.12
"Alaska","All fuels",593.9,540.21,556.51,491.24,502.5,530.99,553.13,567.41,498.1,534.18,582.03,645.62
"Alaska","Other renewables",15.01,12.19,14.24,11.3,13.13,13.31,15.26,15.47,15.58,16.91,11.19,16.68
"Alaska","Conventional hydroelectric",171.31,142.54,136.7,120.58,149.39,160.85,143.21,135.14,110.84,113.74,133.31,171.29
"Alaska","All solar",0.01,0.28,1.13,1.67,1.92,1.86,1.84,1.61,1.31,0.54,0.09,
"Alaska","Wind",11.45,8.72,10.86,8.63,10.19,10.53,12.4,12.57,12.88,13.01,7.39,13.58
"Arizona","All fuels",8670.51,6926.27,8021.49,8101.33,8893.2,10656.14,11670.54,11499.49,10123.11,8531.44,7402.38,8108.72
"Arizona","Other renewables",500.64,600.8,743.45,798.88,948.68,902.45,734.94,822.95,714.38,708,548.83,497.32
"Arizona","Hydro-electric pumped storage",-17.36,-8.11,-0.06,14.79,24.21,36.16,24.75,19.36,15.43,-2.2,-13.02,-3.05
"Arizona","Conventional hydroelectric",541.87,455.84,605.72,547.44,564.05,538.18,556.15,530.11,411.6,349.91,436.97,434.99
"Arizona","Nuclear",2976.21,2537.13,2938.41,2203.28,2086.47,2853.33,2799.35,2932.5,2818.77,2186.78,2474.14,2823.49
"Arizona","Utility-scale photovoltaic",325.04,402.49,496.3,555.2,684.64,661.93,555.27,603.68,535.51,513.58,383.86,298.83
"Arizona","Utility-scale thermal",31.76,49.02,63.36,72.94,93.53,84.75,51.7,69.15,61.73,56.46,38.14,22.05
"Arizona","All utility-scale solar",356.8,451.5,559.66,628.14,778.17,746.68,606.97,672.82,597.24,570.03,422,320.87
